no_punggung;id_jabatan_duta;id_jabatan_manajer_group;id_manager_group;Id_manager area
017254;5;;017252;017168
017255;5;;017252;017168
017256;5;;017252;017168
017257;5;;017252;017168
017258;5;;017262;017168
017259;5;;017262;017168
017260;5;;017262;017168
017261;5;;017262;017168
017262;5;4;017262;017168
017263;5;;017262;017168
017264;5;;017262;017168
017265;5;;017275;017168
017266;5;;017275;017168
017267;5;;017275;017168
017268;5;;017275;017168
017269;5;;017275;017168
017270;5;;017275;017168
017271;5;;017275;017168
017272;5;;017275;017168
017273;5;;017275;017168
017274;5;;017275;017168
017275;5;4;017275;017168
017276;5;;017277;017168
017277;5;4;017277;017168
017278;5;;017277;017168
017279;5;;017277;017168
017280;5;;017277;017168
017281;5;4;017281;017168
017282;5;;017281;017168
017283;5;;017281;017168
017284;5;;017281;017168
017285;5;;017281;017168
017286;5;;017281;017168
017287;5;;017281;017168
027001;5;;027002;027005
027002;5;4;027002;027005
027003;5;;027002;027005
027004;5;;027002;027005
027005;5;;027002;027005
027006;5;;027002;027005
027007;5;;027002;027005
027008;5;;027011;027005
027009;5;;027011;027005
027010;5;;027011;027005
027011;5;4;027011;027005
027012;5;;027011;027005
027013;5;;027014;027005
027014;5;4;027014;027005
027015;5;;027014;027005
027016;5;;027014;027005
027017;5;;027014;027005
027018;5;4;027018;027005
027019;5;;027018;027005
027020;5;;027018;027005
027021;5;;027018;027005
027022;5;;027018;027005
027023;5;;027028;027005
027024;5;;027028;027005
027025;5;;027028;027005
027026;5;;027028;027005
027027;5;;027028;027005
027028;5;4;027028;027005
027029;5;;027028;027005
027030;5;;027033;027005
027031;5;;027033;027005
027032;5;;027033;027005
027033;5;4;027033;027005
027034;5;;027033;027005
027035;5;;027033;027005
037001;5;4;037001;037001
037002;5;;037001;037001
037003;5;;037001;037001
037004;5;;037001;037001
037005;5;;037001;037001
037006;5;;037007;037001
037007;5;4;037007;037001
037008;5;;037007;037001
037009;5;;037007;037001
037010;5;;037007;037001
037011;5;;037015;037001
037012;5;;037015;037001
037013;5;;037015;037001
037014;5;;037015;037001
037015;5;4;037015;037001
037016;5;;037015;037001
037017;5;;037015;037001
037018;5;;037015;037001
037019;5;;037020;037001
037020;5;4;037020;037001
037021;5;;037020;037001
037022;5;;037020;037001
037023;5;;037020;037001
037024;5;;037020;037001
037025;5;;037026;037001
037026;5;4;037026;037001
037027;5;;037026;037001
037028;5;;037026;037001
037029;5;;037026;037001
037030;5;;037026;037001
037031;5;;037026;037001
037032;5;;037037;037001
037033;5;;037037;037001
037034;5;;037037;037001
037035;5;;037037;037001
037036;5;;037037;037001
037037;5;4;037037;037001
037038;5;;037037;037001
037039;5;;037040;037001
037040;5;4;037040;037001
037041;5;;037040;037001
037042;5;;037040;037001
037043;5;;037040;037001
037044;5;;037040;037001
037045;5;;037040;037001
037046;5;;037050;037001
037047;5;;037050;037001
037048;5;;037050;037001
037049;5;;037050;037001
037050;5;4;037050;037001
037051;5;;037050;037001
037052;5;;037050;037001
037053;5;4;037050;037001
037054;5;;037050;037001
037055;5;;037060;037001
037056;5;;037060;037001
037057;5;;037060;037001
037058;5;;037060;037001
037059;5;;037060;037001
037060;5;4;037060;037001
037061;5;;037060;037001
037062;5;;037067;037001
037063;5;;037067;037001
037064;5;;037067;037001
037065;5;;037067;037001
037066;5;;037067;037001
037067;5;4;037067;037001
037068;5;;037067;037001
037069;5;;037067;037001
037070;5;;037074;037001
037071;5;;037074;037001
037072;5;;037074;037001
037073;5;;037074;037001
037074;5;4;037074;037001
037075;5;;037074;037001
037076;5;;037074;037001
037077;5;;037074;037001
037078;5;;037081;037001
037079;5;;037081;037001
037080;5;;037081;037001
037081;5;4;037081;037001
037082;5;;037081;037001
037083;5;;037081;037001
037084;5;;037081;037001
037085;5;;037081;037001
037086;5;;037090;037001
037087;5;;037090;037001
037088;5;;037090;037001
037089;5;;037090;037001
037090;5;4;037090;037001
037091;5;;037090;037001
037092;5;;037095;037001
037093;5;;037095;037001
037094;5;;037095;037001
037095;5;4;037095;037001
037096;5;4;037096;037001
037097;5;;037096;037001
037098;5;;037096;037001
037099;5;;037096;037001
037100;5;;037096;037001
037101;5;;037104;037001
037102;5;;037104;037001
037103;5;;037104;037001
037104;5;4;037104;037001
037105;5;;037104;037001
037106;5;;037104;037001
047001;5;;047005;047019
047002;5;;047005;047019
047003;5;;047005;047019
047004;5;;047005;047019
047005;5;3;047005;047019
047006;5;;047005;047019
047007;5;;047005;047019
047008;5;;047009;047019
047009;5;3;047009;047019
047010;5;;047009;047019
047011;5;;047009;047019
047012;5;;047009;047019
047013;5;;047009;047019
047014;5;;047009;047019
047015;5;;047009;047019
047016;5;3;047016;047019
047017;5;;047016;047019
047018;5;;047016;047019
047019;5;3;047016;047019
047020;5;;047016;047019
047021;5;;047016;047019
047022;5;;047025;047019
047023;5;;047025;047019
047024;5;;047025;047019
047025;5;3;047025;047019
047026;5;;047025;047019
047027;5;;047025;047019
047028;5;;047025;047019
047029;5;;047025;047019
047030;5;;047030;047019
047031;5;;047030;047019
047032;5;;047030;047019
047033;5;;047030;047019
047034;5;;047030;047019
047035;5;;047030;047019
057001;5;;057003;057012
057002;5;;057003;057012
057003;5;4;057003;057012
057004;5;4;057004;057012
057005;5;;057004;057012
057006;5;;057004;057012
057007;5;;057004;057012
057008;5;;057004;057012
057009;5;4;057009;057012
057010;5;;057009;057012
057011;5;;057009;057012
057012;5;;057009;057012
057013;5;;057009;057012
057014;5;;057017;057012
057015;5;;057017;057012
057016;5;;057017;057012
057017;5;4;057017;057012
057018;5;4;057018;057012
057019;5;;057018;057012
057020;5;;057018;057012
057021;5;;057018;057012
057022;5;;057018;057012
057023;5;;057018;057012
057024;5;;057027;057012
057025;5;;057027;057012
057026;5;;057027;057012
057027;5;4;057027;057012
057028;5;;057027;057012
057029;5;;057034;057012
057030;5;;057034;057012
057031;5;;057034;057012
057032;5;;057034;057012
057033;5;;057034;057012
057034;5;4;057034;057012
057035;5;;057041;057012
057036;5;;057041;057012
057037;5;;057041;057012
057038;5;;057041;057012
057039;5;;057041;057012
057040;5;;057041;057012
057041;5;4;057041;057012
057042;5;;057041;057012
057043;5;;057041;057012
057044;5;;057047;057012
057045;5;;057047;057012
057046;5;;057047;057012
057047;5;4;057047;057012
057048;5;;057047;057012
057049;5;;057047;057012
057050;5;;057047;057012
057051;5;;057047;057012
057052;5;;057047;057012
057053;5;;057047;057012
057054;5;4;057054;057012
057055;5;;057054;057012
057056;5;;057054;057012
057057;5;;057054;057012
057058;5;;057054;057012
057059;5;;057054;057012
057060;5;;057054;057012
057061;5;;057065;057012
057062;5;;057065;057012
057063;5;;057065;057012
057064;5;;057065;057012
057065;5;4;057065;057012
057066;5;;057065;057012
067001;5;;067003;067016
067002;5;;067003;067016
067003;5;4;067003;067016
067004;5;;067007;067016
067005;5;;067007;067016
067006;5;;067007;067016
067007;5;4;067007;067016
067008;5;;067007;067016
067009;5;;067010;067016
067010;5;4;067010;067016
067011;5;;067010;067016
067012;5;;067010;067016
067013;5;;067010;067016
067014;5;;067015;067016
067015;5;4;067015;067016
067016;5;;067015;067016
067017;5;;067015;067016
067018;5;;067015;067016
067019;5;;067015;067016
067020;5;;067015;067016
067021;5;;067015;067016
067022;5;4;067022;067016
067023;5;;067022;067016
067024;5;;067022;067016
067025;5;;067022;067016
067026;5;;067022;067016
067027;5;;067022;067016
067028;5;;067032;067016
067029;5;;067032;067016
067030;5;;067032;067016
067031;5;;067032;067016
067032;5;4;067032;067016
067033;5;;067036;067016
067034;5;;067036;067016
067035;5;;067036;067016
067036;5;4;067036;067016
067037;5;;067039;067016
067038;5;;067039;067016
067039;5;4;067039;067016
067040;5;;067039;067016
067041;5;;067039;067016
067042;5;;067039;067016
067043;5;;067039;067016
067044;5;;067051;067016
067045;5;;067051;067016
067046;5;;067051;067016
067047;5;;067051;067016
067048;5;;067051;067016
067049;5;;067051;067016
067050;5;;067051;067016
067051;5;4;067051;067016
067052;5;4;067052;067016
067053;5;;067052;067016
067054;5;;067052;067016
067055;5;;067052;067016
067056;5;;067052;067016
067057;5;;067059;067016
067058;5;;067059;067016
067059;5;4;067059;067016
067060;5;;067059;067016
067061;5;;067059;067016
067062;5;;067059;067016
067063;5;;067059;067016
067064;5;;067068;067016
067065;5;;067068;067016
067066;5;;067068;067016
067067;5;;067068;067016
067068;5;4;067068;067016
067069;5;;067068;067016
067070;5;;067072;067016
067071;5;;067072;067016
067072;5;4;067072;067016
067073;5;;067072;067016
067074;5;;067072;067016
067075;5;;067072;067016
067076;5;;067072;067016
067077;5;;067079;067016
067078;5;;067079;067016
067079;5;4;067079;067016
067080;5;;067079;067016
067081;5;;067079;067016
067082;5;;067079;067016
067083;5;;067079;067016
077001;5;;077002;077011
077002;5;5;077002;077011
077003;5;;077002;077011
077004;5;;077002;077011
077005;5;5;077005;077011
077006;5;;077005;077011
077007;5;;077005;077011
077008;5;;077005;077011
077009;5;;077005;077011
077010;5;;077013;077011
077011;5;;077013;077011
077012;5;;077013;077011
077013;5;5;077013;077011
077014;5;;077013;077011
077015;5;;077013;077011
077016;5;;077020;077011
077017;5;;077020;077011
077018;5;;077020;077011
077019;5;;077020;077011
077020;5;5;077020;077011
077021;5;;077020;077011
077022;5;;077030;077011
077023;5;;077030;077011
077024;5;;077030;077011
077025;5;;077030;077011
077026;5;;077030;077011
077027;5;;077030;077011
077028;5;;077030;077011
077029;5;;077030;077011
077030;5;5;077030;077011
077031;5;;077030;077011
087001;5;4;087001;087072
087002;5;;087001;087072
087003;5;;087001;087072
087004;5;;087001;087072
087005;5;;087001;087072
087006;5;;087001;087072
087007;5;;087012;087072
087008;5;;087012;087072
087009;5;;087012;087072
087010;5;;087012;087072
087011;5;;087012;087072
087012;5;4;087012;087072
087013;5;4;087013;087072
087014;5;;087013;087072
087015;5;;087013;087072
087016;5;;087013;087072
087017;5;;087013;087072
087018;5;;087013;087072
087019;5;4;087019;087072
087020;5;;087019;087072
087021;5;;087019;087072
087022;5;;087019;087072
087023;5;;087019;087072
087024;5;;087019;087072
087025;5;;087031;087072
087026;5;;087031;087072
087027;5;;087031;087072
087028;5;;087031;087072
087029;5;;087031;087072
087030;5;;087031;087072
087031;5;4;087031;087072
087032;5;;087038;087072
087033;5;;087038;087072
087034;5;;087038;087072
087035;5;;087038;087072
087036;5;;087038;087072
087037;5;;087038;087072
087038;5;4;087038;087072
087039;5;;087038;087072
087040;5;;087044;087072
087041;5;;087044;087072
087042;5;;087044;087072
087043;5;;087044;087072
087044;5;4;087044;087072
087045;5;;087044;087072
087046;5;;087049;087072
087047;5;;087049;087072
087048;5;;087049;087072
087049;5;4;087049;087072
087050;5;;087049;087072
087051;5;;087049;087072
087052;5;;087049;087072
087053;5;;087060;087072
087054;5;;087060;087072
087055;5;;087060;087072
087056;5;;087060;087072
087057;5;;087060;087072
087058;5;;087060;087072
087059;5;;087060;087072
087060;5;4;087060;087072
087061;5;;087060;087072
087062;5;;087064;087072
087063;5;;087064;087072
087064;5;4;087064;087072
087065;5;;087064;087072
087066;5;;087067;087072
087067;5;4;087067;087072
087068;5;;087067;087072
087069;5;;087067;087072
087070;5;;087067;087072
087071;5;;087067;087072
087072;5;4;087072;087072
087073;5;;087072;087072
087074;5;;087072;087072
087075;5;;087072;087072
087076;5;;087072;087072
087077;5;;087072;087072
087078;5;;087083;087072
087079;5;;087083;087072
087080;5;;087083;087072
087081;5;;087083;087072
087082;5;;087083;087072
087083;5;4;087083;087072
087084;5;;087088;087072
087085;5;;087088;087072
087086;5;;087088;087072
087087;5;;087088;087072
087088;5;4;087088;087072
087089;5;;087088;087072
087090;5;;087094;087072
087091;5;;087094;087072
087092;5;;087094;087072
087093;5;;087094;087072
087094;5;4;087094;087072
087095;5;;087096;087072
087096;5;4;087096;087072
087097;5;;087096;087072
087098;5;;087096;087072
097001;5;;097008;097009
097002;5;;097008;097009
097003;5;;097008;097009
097004;5;;097008;097009
097005;5;;097008;097009
097006;5;;097008;097009
097007;5;;097008;097009
097008;5;4;097008;097009
097009;5;;097013;097009
097010;5;;097013;097009
097011;5;;097013;097009
097012;5;;097013;097009
097013;5;4;097013;097009
097014;5;;097013;097009
097015;5;;097013;097009
097016;5;;097020;097009
097017;5;;097020;097009
097018;5;;097020;097009
097019;5;;097020;097009
097020;5;4;097020;097009
097021;5;;097020;097009
097022;5;;097020;097009
097023;5;;097027;097009
097024;5;;097027;097009
097025;5;;097027;097009
097026;5;;097027;097009
097027;5;4;097027;097009
097028;5;;097030;097009
097029;5;;097030;097009
097030;5;4;097030;097009
097031;5;;097030;097009
097032;5;;097035;097009
097033;5;;097035;097009
097034;5;;097035;097009
097035;5;4;097035;097009
097036;5;;097035;097009
097037;5;;097035;097009
097038;5;4;097038;097009
097039;5;;097038;097009
097040;5;;097038;097009
097041;5;;097038;097009
107001;5;4;107001;107002
107002;5;;107001;107002
107003;5;;107001;107002
107004;5;;107001;107002
107005;5;;107001;107002
107006;5;;107001;107002
107007;5;;107001;107002
107008;5;4;107008;107002
107009;5;;107008;107002
107010;5;;107008;107002
107011;5;;107008;107002
107012;5;4;107012;107002
107013;5;;107012;107002
107014;5;;107012;107002
107015;5;;107012;107002
107016;5;;107012;107002
107017;5;4;107017;107002
107018;5;;107017;107002
107019;5;;107017;107002
107020;5;;107017;107002
107021;5;;107017;107002
107022;5;;107017;107002
107023;5;4;107023;107002
107024;5;;107023;107002
107025;5;;107023;107002
107026;5;;107023;107002
107027;5;;107023;107002
107028;5;4;107028;107002
107029;5;;107028;107002
107030;5;;107028;107002
107031;5;;107028;107002
117001;5;;117004;117008
117002;5;;117004;117008
117003;5;;117004;117008
117004;5;4;117004;117008
117005;5;;117008;117008
117006;5;;117008;117008
117007;5;;117008;117008
117008;5;4;117008;117008
117009;5;4;117009;117008
117010;5;;117009;117008
117011;5;;117009;117008
117012;5;;117009;117008
117013;5;;117017;117008
117014;5;;117017;117008
117015;5;;117017;117008
117016;5;;117017;117008
117017;5;4;117017;117008
117018;5;;117017;117008
117019;5;;117017;117008
117020;5;;117017;117008
117021;5;;117017;117008
117022;5;;117017;117008
117023;5;;117017;117008
117024;5;;117025;117008
117025;5;4;117025;117008
117026;5;;117025;117008
117027;5;;117025;117008
117028;5;;117025;117008
117029;5;;117030;117008
117030;5;4;117030;117008
117031;5;;117030;117008
117032;5;;117030;117008
117033;5;;117030;117008
117034;5;;117030;117008
117035;5;;117030;117008
117036;5;4;117036;117008
117037;5;;117036;117008
117038;5;;117036;117008
117039;5;;117036;117008
117040;5;;117036;117008
117041;5;;117036;117008
117042;5;;117043;117008
117043;5;4;117043;117008
117044;5;;117043;117008
117045;5;;117043;117008
117046;5;;117043;117008
117047;5;;117043;117008
117048;5;;117043;117008
117049;5;;117051;117008
117050;5;;117051;117008
117051;5;4;117051;117008
117052;5;;117051;117008
117053;5;;117051;117008
117054;5;;117051;117008
117055;5;;117051;117008
117056;5;;117059;117008
117057;5;;117059;117008
117058;5;;117059;117008
117059;5;4;117059;117008
117060;5;;117059;117008
117061;5;;117059;117008
117062;5;;117059;117008
117063;5;;117068;117008
117064;5;;117068;117008
117065;5;;117068;117008
117066;5;;117068;117008
117067;5;;117068;117008
117068;5;4;117068;117008
117069;5;;117068;117008
117070;5;4;117070;117008
117071;5;;117070;117008
117072;5;;117070;117008
117073;5;;117070;117008
117074;5;;117070;117008
117075;5;;117077;117008
117076;5;;117077;117008
117077;5;4;117077;117008
117078;5;;117077;117008
117079;5;;117077;117008
117080;5;;117077;117008
117081;5;;117077;117008
117082;5;;117077;117008
117083;5;;117085;117008
117084;5;;117085;117008
117085;5;4;117085;117008
117086;5;;117085;117008
117087;5;;117085;117008
117088;5;;117085;117008
117089;5;;117085;117008
117090;5;;117091;117008
117091;5;4;117091;117008
117092;5;;117091;117008
117093;5;;117091;117008
117094;5;;117091;117008
117095;5;;117091;117008
117096;5;;117091;117008
127001;5;;127007;127007
127002;5;;127007;127007
127003;5;;127007;127007
127004;5;;127007;127007
127005;5;;127007;127007
127006;5;;127007;127007
127007;5;4;127007;127007
127008;5;;127007;127007
127009;5;;127007;127007
127010;5;;127012;127007
127011;5;;127012;127007
127012;5;4;127012;127007
127013;5;;127012;127007
127014;5;;127012;127007
127015;5;;127012;127007
127016;5;;127017;127007
127017;5;4;127017;127007
127018;5;;127017;127007
127019;5;;127017;127007
127020;5;;127017;127007
127021;5;;127017;127007
127022;5;4;127022;127007
127023;5;;127022;127007
127024;5;;127022;127007
127025;5;;127022;127007
127026;5;;127022;127007
127027;5;;127022;127007
127028;5;;127031;127007
127029;5;;127031;127007
127030;5;;127031;127007
127031;5;4;127031;127007
127032;5;;127031;127007
127033;5;;127031;127007
127034;5;;127037;127007
127035;5;;127037;127007
127036;5;;127037;127007
127037;5;4;127037;127007
127038;5;;127037;127007
127039;5;;127037;127007
127040;5;;127037;127007
127041;5;;127037;127007
127042;5;;127045;127007
127043;5;;127045;127007
127044;5;;127045;127007
127045;5;4;127045;127007
127046;5;;127045;127007
127047;5;;127045;127007
137001;5;4;137001;137014
137002;5;;137001;137014
137003;5;;137001;137014
137004;5;;137001;137014
137005;5;4;137005;137014
137006;5;;137005;137014
137007;5;;137005;137014
137008;5;;137005;137014
137009;5;4;137009;137014
137010;5;;137009;137014
137011;5;;137009;137014
137012;5;;137014;137014
137013;5;;137014;137014
137014;5;4;137014;137014
137015;5;;137014;137014
137016;5;;137014;137014
137017;5;;137014;137014
137018;5;;137009;137014
137019;5;4;137019;137014
137020;5;;137019;137014
137021;5;;137019;137014
147001;5;;147005;147019
147002;5;;147005;147019
147003;5;;147005;147019
147004;5;;147005;147019
147005;5;4;147005;147019
147006;5;;147005;147019
147007;5;;147011;147019
147008;5;;147011;147019
147009;5;;147011;147019
147010;5;;147011;147019
147011;5;4;147011;147019
147012;5;;147011;147019
147013;5;;147017;147019
147014;5;;147017;147019
147015;5;;147017;147019
147016;5;;147017;147019
147017;5;4;147017;147019
147018;5;;147017;147019
147019;5;4;147019;147019
147020;5;;147019;147019
147021;5;;147023;147019
147022;5;;147023;147019
147023;5;4;147023;147019
147024;5;;147023;147019
147025;5;;147023;147019
147026;5;;147023;147019
147027;5;4;147027;147019
147028;5;;147027;147019
147029;5;;147027;147019
147030;5;;147027;147019
147031;5;;147027;147019
147032;5;;147027;147019
147033;5;;147037;147019
147034;5;;147037;147019
147035;5;;147037;147019
147036;5;;147037;147019
147037;5;4;147037;147019
147038;5;;147037;147019
147039;5;;147037;147019
147040;5;;147043;147019
147041;5;;147043;147019
147042;5;;147043;147019
147043;5;4;147043;147019
147044;5;;147043;147019
147045;5;;147043;147019
147046;5;;147043;147019
147047;5;;147043;147019
147048;5;4;147048;147019
147049;5;;147048;147019
147050;5;;147048;147019
147051;5;;147048;147019
147052;5;;147048;147019
147053;5;;147048;147019
147054;5;;147048;147019
147055;5;;147048;147019
147056;5;;147061;147019
147057;5;;147061;147019
147058;5;;147061;147019
147059;5;;147061;147019
147060;5;;147061;147019
147061;5;4;147061;147019
147062;5;;147066;147019
147063;5;;147066;147019
147064;5;;147066;147019
147065;5;;147066;147019
147066;5;4;147066;147019
147067;5;;147073;147019
147068;5;;147073;147019
147069;5;;147073;147019
147070;5;;147073;147019
147071;5;;147073;147019
147072;5;;147073;147019
147073;5;4;147073;147019
147074;5;;147073;147019
147075;5;;147073;147019
147076;5;;147073;147019
157001;5;;157005;157011
157002;5;;157005;157011
157003;5;;157005;157011
157004;5;;157005;157011
157005;5;4;157005;157011
157006;5;;157010;157011
157007;5;;157010;157011
157008;5;;157010;157011
157009;5;;157010;157011
157010;5;4;157010;157011
157011;5;;157010;157011
157012;5;;157010;157011
157013;5;;157015;157011
157014;5;;157015;157011
157015;5;4;157015;157011
157016;5;;157015;157011
157017;5;;157015;157011
157018;5;;157015;157011
157019;5;;157015;157011
157020;5;;157015;157011
157021;5;;157022;157011
157022;5;4;157022;157011
157023;5;;157022;157011
157024;5;;157022;157011
157025;5;;157022;157011
157026;5;;157022;157011
157027;5;4;157027;157011
157028;5;;157027;157011
157029;5;;157027;157011
157030;5;;157027;157011
157031;5;;157027;157011
157032;5;;157027;157011
157033;5;;157027;157011
157034;5;;157037;157011
157035;5;;157037;157011
157036;5;;157037;157011
157037;5;4;157037;157011
157038;5;;157037;157011
157039;5;;157037;157011
157040;5;;157037;157011
157041;5;;157042;157011
157042;5;4;157042;157011
157043;5;;157042;157011
157044;5;;157042;157011
157045;5;;157042;157011
167001;5;;167003;167048
167002;5;;167003;167048
167003;5;4;167003;167048
167004;5;;167003;167048
167005;5;;167003;167048
167006;5;;167003;167048
167007;5;;167003;167048
167008;5;;167003;167048
167009;5;4;167009;167048
167010;5;;167009;167048
167011;5;;167009;167048
167012;5;;167009;167048
167013;5;;167009;167048
167014;5;;167009;167048
167015;5;;167018;167048
167016;5;;167018;167048
167017;5;;167018;167048
167018;5;4;167018;167048
167019;5;;167025;167048
167020;5;;167025;167048
167021;5;;167025;167048
167022;5;;167025;167048
167023;5;;167025;167048
167024;5;;167025;167048
167025;5;4;167025;167048
167026;5;;167027;167048
167027;5;4;167027;167048
167028;5;;167027;167048
167029;5;;167027;167048
167030;5;;167027;167048
167031;5;;167027;167048
167032;5;;167035;167048
167033;5;;167035;167048
167034;5;;167035;167048
167035;5;4;167035;167048
167036;5;;167035;167048
167037;5;;167035;167048
167038;5;;167043;167048
167039;5;;167043;167048
167040;5;;167043;167048
167041;5;;167043;167048
167042;5;;167043;167048
